E,U,D_enc,D_dec,D,depth
0,2.700213677562875,0.6141241548120826,0.4924247234532672,0.30240991709931125,4
0,1.743911459710042,0.37513607530552373,0.37170709223905307,0.13944073974578666,30
1,5.31567273944904,0.4635893731127946,0.3820098720785535,0.17709571711979546,28
0,3.6515447069113103,0.6032527576286145,0.4852602411336837,0.29273457863142116,13
1,6.452971628155549,0.8042354129934449,0.3487351257616529,0.28046513789224387,29
0,6.957524421863083,0.2960688727259517,0.20735604227064042,0.061391669687983305,35
0,3.926327123836427,0.3321101092597798,0.5687614739035415,0.18889143524085855,37
0,3.854109341886868,0.5632899480099604,0.5487460475498015,0.30910313259499894,2
0,4.637191482836656,0.3175826583951279,0.3276549755937723,0.10405753818546096,2
0,3.4735978255131874,0.31687980407275756,0.5514321814703183,0.17473772162372775,35
1,2.762291515878909,0.6368358342150761,0.6646667317778389,0.4232835926067482,13
0,6.922393917424735,0.5282594964940592,0.42921379392125647,0.22673626266514785,5
1,6.156266393675649,0.386444546732714,0.6336139613450031,0.24485666009548912,13
0,2.387812616193792,0.542386239147604,0.42534008127587575,0.23069860704195846,15
0,1.6879926986825493,0.45970761129279997,0.6668834657592396,0.3065714050548438,2
0,5.230427580106849,0.3989776489803252,0.6095037576774753,0.24317837628283293,25
0,2.2016306516528914,0.14935817219247227,0.48543915034887475,0.07250430420677467,23
1,2.7425112884043763,0.6169413141072996,0.7235191497024807,0.44636885499924445,28
1,3.5732993480021764,0.39456811760139754,0.6652054705615809,0.26246887033763483,17
0,2.9183806819528777,0.47454482869207754,0.3236536288495566,0.15358815585798208,2
0,4.385223886595346,0.30483326817175627,0.5350813689689513,0.1631106024406228,18
0,7.103074572951986,0.5876065051177294,0.23748603882611063,0.13954834128886426,32
0,1.8037008971591768,0.653284642865019,0.3430717015686998,0.22412347403640243,22
0,3.7658332001296464,0.7506060993608742,0.4816144510285517,0.36150274448236996,38
0,2.726851144364307,0.5766801339601705,0.44533789106577426,0.25681751467735053,39
0,2.909121501653364,0.6734569645185685,0.4560043448669969,0.3070993019014062,14
0,2.5043321362618376,0.473001815671699,0.47370708557793045,0.22406431157491002,25
0,5.594421616594423,0.30843041662361803,0.3386598995637238,0.10445301391615196,34
1,4.948556517384887,0.7375129140864198,0.5992092540335509,0.4419245630898339,28
0,2.640373830160332,0.5104325364933344,0.6768872856165994,0.34550529411736897,34
1,5.879035884177327,0.6245963598153899,0.45598640706693155,0.284807449979304,8
0,5.127246829442263,0.49067970309021336,0.49518080590540203,0.24297517081763523,2
0,2.859028147887823,0.6690816895468933,0.6006669378018706,0.4018952495994343,35
0,2.2891969848381013,0.7920998357732565,0.4452749530883114,0.35270221721519596,24
0,7.4415933099827205,0.584493303283684,0.37039848923169394,0.21649543650231884,25
0,2.587008012930325,0.6921667355668538,0.3659178366307977,0.25327615446642454,14
0,2.695616664700429,0.4816349330595181,0.4835398434857955,0.23288968014889097,38
0,2.643218591879392,0.7271098228306676,0.3251287806257067,0.2364043300779086,33
1,6.20508972964677,0.5293287983411454,0.5967310923727821,0.3158669520584838,11
0,5.465952981472794,0.6427688109487362,0.291001883476423,0.18704693462598307,11
0,2.939018036717255,0.3371609811401298,0.5926783884549555,0.19982802695202379,18
0,2.5204942254734215,0.5735453999419942,0.28062590995658804,0.16095169976013732,30
1,7.092975069661492,0.6554965896902755,0.5278688367731725,0.34601622230858725,25
1,7.003709818413329,0.5554954768275521,0.5397298125357967,0.2998174695726177,5
0,4.00501549258136,0.1399627696544805,0.6422244012922096,0.08988750594454818,6
1,3.0041051918170103,0.47854387035804863,0.5863833676405584,0.28061016626429935,11
1,6.8206466661395835,0.7208446981975869,0.5510876167967138,0.3972485868102546,22
0,3.793676509078691,0.3872498539975484,0.31847949939847914,0.12333113964327336,30
1,5.558785210650829,0.4522666099010378,0.40109199335619977,0.18140051609365804,32
0,4.990984443510486,0.41088997446230935,0.353871479550837,0.14540224319558304,8
1,5.373687247401172,0.5915895489563409,0.5782402011224933,0.34208085977047964,23
1,3.8466935324410887,0.3479262411974912,0.45002007925388204,0.1565737946382003,37
1,4.1013468256262,0.37669205859051597,0.5388745435101019,0.20298976111684486,30
1,7.325323284738536,0.6129559528678379,0.6536622836423454,0.40066618792376074,14
0,2.2102305714005457,0.1,0.5580612917283644,0.05580612917283644,7
0,1.5333421037786406,0.2820548033683426,0.4833657015457699,0.1363356179044931,19
0,6.6693426359168715,0.2814878299881015,0.5437350221918565,0.15305479148531792,1
0,6.5102337842065605,0.49747924832151563,0.4630987028966841,0.2303819946157113,27
0,6.307578950079105,0.3641962829102846,0.27982634703040077,0.10191171544883532,39
0,1.7578318454073227,0.3457406340998843,0.6771982307471467,0.23413494570983828,8
0,3.067783210547625,0.1264738655941569,0.41306513728927763,0.05224194465515607,31
0,7.458210907132639,0.33231288351865135,0.48501111568936983,0.1611754423933327,32
1,6.705649506334495,0.41750612342596793,0.7247699240464068,0.30259588136434856,33
0,1.562177824579528,0.24723061632400983,0.1,0.024723061632400983,3
0,6.710834022894302,0.501405064290168,0.40150884993794805,0.20131857071620823,33
1,6.745942426385302,0.7835725105020701,0.6499120428768751,0.509253211042562,12
1,4.443554280512801,0.7747951188978437,0.4796506819497634,0.37163100715069874,11
1,5.288743339283669,0.5092782009306992,0.5829912195097383,0.2969047194303139,2
0,7.083536579055512,0.48166868059651674,0.5911597210192717,0.2847431228451575,11
1,6.825795011145047,0.38741364730468203,0.7584721757715089,0.29384247199475816,4
1,6.964867458871649,0.4872422003938535,0.7317242988879478,0.3565269574718134,20
0,2.836793633178621,0.33461112931532744,0.2424535220575847,0.08112764682216707,22
