Contract_ID,Reporting_Month,Asset_Book_Value,Accumulated_Arrears,Impairment_Write_Down,Default_Status_Flag,Asset_Liquidation_Recovery,Account_Classification
IJR-2026-001,1,44325.0,0.0,0.0,0,0.0,Active
IJR-2026-001,2,43650.0,0.0,0.0,0,0.0,Active
IJR-2026-001,3,42975.0,0.0,0.0,0,0.0,Active
IJR-2026-001,4,42300.0,0.0,0.0,0,0.0,Active
IJR-2026-001,5,41625.0,0.0,0.0,0,0.0,Active
IJR-2026-001,6,40950.0,0.0,0.0,0,0.0,Active
IJR-2026-001,7,40275.0,0.0,0.0,0,0.0,Active
IJR-2026-001,8,39600.0,0.0,0.0,0,0.0,Active
IJR-2026-001,9,38925.0,0.0,0.0,0,0.0,Active
IJR-2026-001,10,38250.0,0.0,0.0,0,0.0,Active
IJR-2026-001,11,37575.0,0.0,0.0,0,0.0,Active
IJR-2026-001,12,36900.0,0.0,0.0,0,0.0,Active
IJR-2026-001,13,36225.0,0.0,0.0,0,0.0,Active
IJR-2026-001,14,35550.0,0.0,0.0,0,0.0,Active
IJR-2026-001,15,34875.0,0.0,0.0,0,0.0,Active
IJR-2026-001,16,34200.0,0.0,0.0,0,0.0,Active
IJR-2026-001,17,33525.0,0.0,0.0,0,0.0,Active
IJR-2026-001,18,32850.0,0.0,0.0,0,0.0,Active
IJR-2026-001,19,32175.0,0.0,0.0,0,0.0,Active
IJR-2026-001,20,31500.0,0.0,0.0,0,0.0,Active
IJR-2026-001,21,30825.0,0.0,0.0,0,0.0,Active
IJR-2026-001,22,30150.0,0.0,0.0,0,0.0,Active
IJR-2026-001,23,29475.0,0.0,0.0,0,0.0,Active
IJR-2026-001,24,28800.0,0.0,0.0,0,0.0,Active
IJR-2026-002,1,64025.0,0.0,0.0,0,0.0,Active
IJR-2026-002,2,63050.0,0.0,0.0,0,0.0,Active
IJR-2026-002,3,62075.0,0.0,0.0,0,0.0,Active
IJR-2026-002,4,61100.0,0.0,0.0,0,0.0,Active
IJR-2026-002,5,60125.0,0.0,0.0,0,0.0,Active
IJR-2026-002,6,59150.0,0.0,0.0,0,0.0,Active
IJR-2026-002,7,58175.0,0.0,0.0,0,0.0,Active
IJR-2026-002,8,57200.0,0.0,0.0,0,0.0,Active
IJR-2026-002,9,56225.0,0.0,0.0,0,0.0,Active
IJR-2026-002,10,55250.0,0.0,0.0,0,0.0,Active
IJR-2026-002,11,54275.0,0.0,0.0,0,0.0,Active
IJR-2026-002,12,53300.0,0.0,0.0,0,0.0,Active
IJR-2026-002,13,52325.0,0.0,0.0,0,0.0,Active
IJR-2026-002,14,51350.0,0.0,0.0,0,0.0,Active
IJR-2026-002,15,50375.0,0.0,0.0,0,0.0,Active
IJR-2026-002,16,49400.0,0.0,0.0,0,0.0,Active
IJR-2026-002,17,48425.0,0.0,0.0,0,0.0,Active
IJR-2026-002,18,47450.0,0.0,0.0,0,0.0,Active
IJR-2026-002,19,46475.0,0.0,0.0,0,0.0,Active
IJR-2026-002,20,45500.0,0.0,0.0,0,0.0,Active
IJR-2026-002,21,44525.0,0.0,0.0,0,0.0,Active
IJR-2026-002,22,43550.0,0.0,0.0,0,0.0,Active
IJR-2026-002,23,42575.0,0.0,0.0,0,0.0,Active
IJR-2026-002,24,41600.0,0.0,0.0,0,0.0,Active
IJR-2026-003,1,64025.0,0.0,0.0,0,0.0,Arrears
IJR-2026-003,2,63050.0,0.0,0.0,0,0.0,Arrears
IJR-2026-003,3,62075.0,0.0,0.0,0,0.0,Arrears
IJR-2026-003,4,61100.0,0.0,0.0,0,0.0,Arrears
IJR-2026-003,5,60125.0,0.0,0.0,0,0.0,Arrears
IJR-2026-003,6,59150.0,0.0,0.0,0,0.0,Arrears
IJR-2026-003,7,58175.0,0.0,0.0,0,0.0,Arrears
IJR-2026-003,8,57200.0,0.0,0.0,0,0.0,Arrears
IJR-2026-003,9,56225.0,0.0,0.0,0,0.0,Arrears
IJR-2026-003,10,55250.0,0.0,0.0,0,0.0,Arrears
IJR-2026-003,11,54275.0,0.0,0.0,0,0.0,Arrears
IJR-2026-003,12,53300.0,1200.0,0.0,0,0.0,Arrears
IJR-2026-003,13,52325.0,2400.0,0.0,0,0.0,Arrears
IJR-2026-003,14,51350.0,3600.0,0.0,0,0.0,Arrears
IJR-2026-003,15,50375.0,4800.0,0.0,0,0.0,Arrears
IJR-2026-003,16,49400.0,6000.0,0.0,0,0.0,Arrears
IJR-2026-003,17,48425.0,7200.0,0.0,0,0.0,Arrears
IJR-2026-003,18,47450.0,8400.0,0.0,0,0.0,Arrears
IJR-2026-003,19,46475.0,9600.0,0.0,0,0.0,Arrears
IJR-2026-003,20,45500.0,10800.0,0.0,0,0.0,Arrears
IJR-2026-003,21,44525.0,12000.0,0.0,0,0.0,Arrears
IJR-2026-003,22,43550.0,13200.0,0.0,0,0.0,Arrears
IJR-2026-003,23,42575.0,14400.0,0.0,0,0.0,Arrears
IJR-2026-003,24,41600.0,15600.0,0.0,0,0.0,Arrears
IJR-2026-004,1,83725.0,0.0,0.0,0,0.0,Active
IJR-2026-004,2,82450.0,0.0,0.0,0,0.0,Active
IJR-2026-004,3,81175.0,0.0,0.0,0,0.0,Active
IJR-2026-004,4,79900.0,0.0,0.0,0,0.0,Active
IJR-2026-004,5,78625.0,0.0,0.0,0,0.0,Active
IJR-2026-004,6,77350.0,0.0,0.0,0,0.0,Active
IJR-2026-004,7,76075.0,0.0,0.0,0,0.0,Active
IJR-2026-004,8,74800.0,0.0,0.0,0,0.0,Active
IJR-2026-004,9,73525.0,0.0,0.0,0,0.0,Active
IJR-2026-004,10,72250.0,0.0,0.0,0,0.0,Active
IJR-2026-004,11,70975.0,0.0,0.0,0,0.0,Active
IJR-2026-004,12,69700.0,0.0,0.0,0,0.0,Active
IJR-2026-004,13,68425.0,0.0,0.0,0,0.0,Active
IJR-2026-004,14,67150.0,0.0,0.0,0,0.0,Active
IJR-2026-004,15,65875.0,0.0,0.0,0,0.0,Active
IJR-2026-004,16,64600.0,0.0,0.0,0,0.0,Active
IJR-2026-004,17,63325.0,0.0,0.0,0,0.0,Active
IJR-2026-004,18,62050.0,0.0,0.0,0,0.0,Active
IJR-2026-004,19,60775.0,0.0,0.0,0,0.0,Active
IJR-2026-004,20,59500.0,0.0,0.0,0,0.0,Active
IJR-2026-004,21,58225.0,0.0,0.0,0,0.0,Active
IJR-2026-004,22,56950.0,0.0,0.0,0,0.0,Active
IJR-2026-004,23,55675.0,0.0,0.0,0,0.0,Active
IJR-2026-004,24,54400.0,0.0,0.0,0,0.0,Active
IJR-2026-005,1,64025.0,0.0,0.0,0,0.0,Defaulted
IJR-2026-005,2,63050.0,0.0,0.0,0,0.0,Defaulted
IJR-2026-005,3,62075.0,0.0,0.0,0,0.0,Defaulted
IJR-2026-005,4,61100.0,0.0,0.0,0,0.0,Defaulted
IJR-2026-005,5,60125.0,0.0,0.0,0,0.0,Defaulted
IJR-2026-005,6,59150.0,0.0,0.0,0,0.0,Defaulted
IJR-2026-005,7,58175.0,0.0,0.0,0,0.0,Defaulted
IJR-2026-005,8,57200.0,0.0,0.0,0,0.0,Defaulted
IJR-2026-005,9,56225.0,0.0,0.0,0,0.0,Defaulted
IJR-2026-005,10,55250.0,1800.0,0.0,1,0.0,Defaulted
IJR-2026-005,11,54275.0,3600.0,0.0,1,0.0,Defaulted
IJR-2026-005,12,53300.0,5400.0,0.0,1,0.0,Defaulted
IJR-2026-005,13,52325.0,7200.0,0.0,1,0.0,Defaulted
IJR-2026-005,14,51350.0,9000.0,0.0,1,0.0,Defaulted
IJR-2026-005,15,50375.0,10800.0,0.0,1,0.0,Defaulted
IJR-2026-005,16,49400.0,12600.0,0.0,1,0.0,Defaulted
IJR-2026-005,17,48425.0,14400.0,0.0,1,0.0,Defaulted
IJR-2026-005,18,47450.0,16200.0,0.0,1,0.0,Defaulted
IJR-2026-005,19,46475.0,18000.0,0.0,1,0.0,Defaulted
IJR-2026-005,20,45500.0,19800.0,0.0,1,0.0,Defaulted
IJR-2026-005,21,44525.0,21600.0,0.0,1,0.0,Defaulted
IJR-2026-005,22,43550.0,23400.0,0.0,1,0.0,Defaulted
IJR-2026-005,23,42575.0,25200.0,0.0,1,0.0,Defaulted
IJR-2026-005,24,41600.0,27000.0,0.0,1,0.0,Defaulted
IJR-2026-006,1,83725.0,0.0,0.0,0,0.0,Active
IJR-2026-006,2,82450.0,0.0,0.0,0,0.0,Active
IJR-2026-006,3,81175.0,0.0,0.0,0,0.0,Active
IJR-2026-006,4,79900.0,0.0,0.0,0,0.0,Active
IJR-2026-006,5,78625.0,0.0,0.0,0,0.0,Active
IJR-2026-006,6,77350.0,0.0,0.0,0,0.0,Active
IJR-2026-006,7,76075.0,0.0,0.0,0,0.0,Active
IJR-2026-006,8,74800.0,0.0,0.0,0,0.0,Active
IJR-2026-006,9,73525.0,0.0,0.0,0,0.0,Active
IJR-2026-006,10,72250.0,0.0,0.0,0,0.0,Active
IJR-2026-006,11,70975.0,0.0,0.0,0,0.0,Active
IJR-2026-006,12,69700.0,0.0,0.0,0,0.0,Active
IJR-2026-006,13,68425.0,0.0,0.0,0,0.0,Active
IJR-2026-006,14,67150.0,0.0,0.0,0,0.0,Active
IJR-2026-006,15,65875.0,0.0,0.0,0,0.0,Active
IJR-2026-006,16,64600.0,0.0,0.0,0,0.0,Active
IJR-2026-006,17,63325.0,0.0,0.0,0,0.0,Active
IJR-2026-006,18,62050.0,0.0,0.0,0,0.0,Active
IJR-2026-006,19,60775.0,0.0,0.0,0,0.0,Active
IJR-2026-006,20,59500.0,0.0,0.0,0,0.0,Active
IJR-2026-006,21,58225.0,0.0,0.0,0,0.0,Active
IJR-2026-006,22,56950.0,0.0,0.0,0,0.0,Active
IJR-2026-006,23,55675.0,0.0,0.0,0,0.0,Active
IJR-2026-006,24,54400.0,0.0,0.0,0,0.0,Active
IJR-2026-007,1,64025.0,0.0,0.0,0,0.0,Terminated-Loss
IJR-2026-007,2,63050.0,0.0,0.0,0,0.0,Terminated-Loss
IJR-2026-007,3,62075.0,0.0,0.0,0,0.0,Terminated-Loss
IJR-2026-007,4,61100.0,0.0,0.0,0,0.0,Terminated-Loss
IJR-2026-007,5,60125.0,0.0,0.0,0,0.0,Terminated-Loss
IJR-2026-007,6,59150.0,0.0,0.0,0,0.0,Terminated-Loss
IJR-2026-007,7,58175.0,0.0,0.0,0,0.0,Terminated-Loss
IJR-2026-007,8,57200.0,0.0,0.0,0,0.0,Terminated-Loss
IJR-2026-007,9,56225.0,0.0,0.0,0,0.0,Terminated-Loss
IJR-2026-007,10,55250.0,0.0,0.0,0,0.0,Terminated-Loss
IJR-2026-007,11,54275.0,0.0,0.0,0,0.0,Terminated-Loss
IJR-2026-007,12,53300.0,0.0,0.0,0,0.0,Terminated-Loss
IJR-2026-007,13,52325.0,0.0,0.0,0,0.0,Terminated-Loss
IJR-2026-007,14,51350.0,0.0,0.0,0,0.0,Terminated-Loss
IJR-2026-007,15,5037.5,0.0,45337.5,1,0.0,Terminated-Loss
IJR-2026-007,16,4062.5,0.0,0.0,1,0.0,Terminated-Loss
IJR-2026-007,17,3087.5,0.0,0.0,1,0.0,Terminated-Loss
IJR-2026-007,18,2112.5,0.0,0.0,1,0.0,Terminated-Loss
IJR-2026-007,19,1137.5,0.0,0.0,1,0.0,Terminated-Loss
IJR-2026-007,20,162.5,0.0,0.0,1,0.0,Terminated-Loss
IJR-2026-007,21,0.0,0.0,0.0,1,0.0,Terminated-Loss
IJR-2026-007,22,0.0,0.0,0.0,1,0.0,Terminated-Loss
IJR-2026-007,23,0.0,0.0,0.0,1,0.0,Terminated-Loss
IJR-2026-007,24,0.0,0.0,0.0,1,0.0,Terminated-Loss
IJR-2026-008,1,64025.0,0.0,0.0,0,0.0,Active
IJR-2026-008,2,63050.0,0.0,0.0,0,0.0,Active
IJR-2026-008,3,62075.0,0.0,0.0,0,0.0,Active
IJR-2026-008,4,61100.0,0.0,0.0,0,0.0,Active
IJR-2026-008,5,60125.0,0.0,0.0,0,0.0,Active
IJR-2026-008,6,59150.0,0.0,0.0,0,0.0,Active
IJR-2026-008,7,58175.0,0.0,0.0,0,0.0,Active
IJR-2026-008,8,57200.0,0.0,0.0,0,0.0,Active
IJR-2026-008,9,56225.0,0.0,0.0,0,0.0,Active
IJR-2026-008,10,55250.0,0.0,0.0,0,0.0,Active
IJR-2026-008,11,54275.0,0.0,0.0,0,0.0,Active
IJR-2026-008,12,53300.0,0.0,0.0,0,0.0,Active
IJR-2026-008,13,52325.0,0.0,0.0,0,0.0,Active
IJR-2026-008,14,51350.0,0.0,0.0,0,0.0,Active
IJR-2026-008,15,50375.0,0.0,0.0,0,0.0,Active
IJR-2026-008,16,49400.0,0.0,0.0,0,0.0,Active
IJR-2026-008,17,48425.0,0.0,0.0,0,0.0,Active
IJR-2026-008,18,47450.0,0.0,0.0,0,0.0,Active
IJR-2026-008,19,46475.0,0.0,0.0,0,0.0,Active
IJR-2026-008,20,45500.0,0.0,0.0,0,0.0,Active
IJR-2026-008,21,44525.0,0.0,0.0,0,0.0,Active
IJR-2026-008,22,43550.0,0.0,0.0,0,0.0,Active
IJR-2026-008,23,42575.0,0.0,0.0,0,0.0,Active
IJR-2026-008,24,41600.0,0.0,0.0,0,0.0,Active
IJR-2026-009,1,44325.0,0.0,0.0,0,0.0,Active
IJR-2026-009,2,43650.0,0.0,0.0,0,0.0,Active
IJR-2026-009,3,42975.0,0.0,0.0,0,0.0,Active
IJR-2026-009,4,42300.0,0.0,0.0,0,0.0,Active
IJR-2026-009,5,41625.0,0.0,0.0,0,0.0,Active
IJR-2026-009,6,40950.0,0.0,0.0,0,0.0,Active
IJR-2026-009,7,40275.0,0.0,0.0,0,0.0,Active
IJR-2026-009,8,39600.0,0.0,0.0,0,0.0,Active
IJR-2026-009,9,38925.0,0.0,0.0,0,0.0,Active
IJR-2026-009,10,38250.0,0.0,0.0,0,0.0,Active
IJR-2026-009,11,37575.0,0.0,0.0,0,0.0,Active
IJR-2026-009,12,36900.0,0.0,0.0,0,0.0,Active
IJR-2026-009,13,36225.0,0.0,0.0,0,0.0,Active
IJR-2026-009,14,35550.0,0.0,0.0,0,0.0,Active
IJR-2026-009,15,34875.0,0.0,0.0,0,0.0,Active
IJR-2026-009,16,34200.0,0.0,0.0,0,0.0,Active
IJR-2026-009,17,33525.0,0.0,0.0,0,0.0,Active
IJR-2026-009,18,32850.0,0.0,0.0,0,0.0,Active
IJR-2026-009,19,32175.0,0.0,0.0,0,0.0,Active
IJR-2026-009,20,31500.0,0.0,0.0,0,0.0,Active
IJR-2026-009,21,30825.0,0.0,0.0,0,0.0,Active
IJR-2026-009,22,30150.0,0.0,0.0,0,0.0,Active
IJR-2026-009,23,29475.0,0.0,0.0,0,0.0,Active
IJR-2026-009,24,28800.0,0.0,0.0,0,0.0,Active
IJR-2026-010,1,83725.0,0.0,0.0,0,0.0,Active
IJR-2026-010,2,82450.0,0.0,0.0,0,0.0,Active
IJR-2026-010,3,81175.0,0.0,0.0,0,0.0,Active
IJR-2026-010,4,79900.0,0.0,0.0,0,0.0,Active
IJR-2026-010,5,78625.0,0.0,0.0,0,0.0,Active
IJR-2026-010,6,77350.0,0.0,0.0,0,0.0,Active
IJR-2026-010,7,76075.0,0.0,0.0,0,0.0,Active
IJR-2026-010,8,74800.0,0.0,0.0,0,0.0,Active
IJR-2026-010,9,73525.0,0.0,0.0,0,0.0,Active
IJR-2026-010,10,72250.0,0.0,0.0,0,0.0,Active
IJR-2026-010,11,70975.0,0.0,0.0,0,0.0,Active
IJR-2026-010,12,69700.0,0.0,0.0,0,0.0,Active
IJR-2026-010,13,68425.0,0.0,0.0,0,0.0,Active
IJR-2026-010,14,67150.0,0.0,0.0,0,0.0,Active
IJR-2026-010,15,65875.0,0.0,0.0,0,0.0,Active
IJR-2026-010,16,64600.0,0.0,0.0,0,0.0,Active
IJR-2026-010,17,63325.0,0.0,0.0,0,0.0,Active
IJR-2026-010,18,62050.0,0.0,0.0,0,0.0,Active
IJR-2026-010,19,60775.0,0.0,0.0,0,0.0,Active
IJR-2026-010,20,59500.0,0.0,0.0,0,0.0,Active
IJR-2026-010,21,58225.0,0.0,0.0,0,0.0,Active
IJR-2026-010,22,56950.0,0.0,0.0,0,0.0,Active
IJR-2026-010,23,55675.0,0.0,0.0,0,0.0,Active
IJR-2026-010,24,54400.0,0.0,0.0,0,0.0,Active
